LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),Pass@1,Pass@10,GoogleBLEU,CodeBLEU,SacreBLEU
codegeex4-all-9b-Q6_K_L,Python/4-1,47.21654534339905,3791.9513955587154,552.622590183171,1011.9668095727785,64.90997032883934,11.705769538879396,20.980234454034633,0.00034907534813466586,7.393072610371889e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/4-2,34.707606077194214,2265.018108013064,406.2231219036258,748.4205987359937,64.88865147546375,11.705769538879396,21.413119917932615,0.00022285271203085078,6.420860935646137e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/4-3,34.95045447349548,2281.9730955770224,409.06665024414883,748.9545991631708,64.89387473203378,11.705769538879396,21.295439586403795,0.00022417774258473656,6.414158155074656e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/4-4,34.948426723480225,2281.0728898568304,409.0389117579908,743.99259519361,64.897046656323,11.705769538879396,21.065229015894047,0.00022379390611478945,6.403547372403826e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/4-5,46.6546950340271,3040.4499103579756,546.0567964571273,997.0687976544601,64.87982393349678,11.705769538879396,20.763999802293498,0.00029870270311835605,6.402414653026891e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/4-6,58.374568462371826,3801.2081539640863,683.2412376624951,1249.8599998871928,64.91750705758177,11.705769538879396,21.417403637951942,0.00037369379299891363,6.401654056591377e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/4-7,34.94958257675171,2280.8748306984066,409.04875795772574,748.7065989647934,64.90165165207935,11.705769538879396,21.329365778017536,0.0002240888431018909,6.41177452147751e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/4-8,34.70990300178528,2264.315167450706,406.24979706719347,743.6145948912009,64.90161800634398,11.705769538879396,21.13544100436218,0.00022249544320421445,6.410143041678064e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/4-9,40.30177545547485,2627.793531233147,471.70700079136697,862.5306900240271,64.91558874354551,11.705769538879396,21.38689404479527,0.00025819787079130494,6.406612807333025e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/4-10,34.69848442077637,2264.119306294013,406.1148499878894,739.4065915247938,64.90196055535552,11.705769538879396,21.20907470694786,0.00022219965767755276,6.403728041346571e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/5-1,39.88963079452515,2641.1230988967664,466.88376952119575,856.3406850720156,64.90660482360344,11.705769538879396,21.50381520491763,0.0002583488216073656,6.47659094510406e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/5-2,29.584224700927734,1932.7356121872558,346.2660226548165,632.3555058839747,64.91616416014394,11.705769538879396,21.424609645961727,0.00018972748388889843,6.413130166732027e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/5-3,27.630961418151855,1805.5139124099867,323.402371007548,591.2634730104338,64.91457539277341,11.705769538879396,21.397586941268173,0.00017726882548799543,6.4155865880056074e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/5-4,30.30879497528076,1977.8231182572408,354.7282591980669,643.6995149592228,64.39457496885916,11.705769538879396,15.867078541067237,0.00019395648350414193,6.399346581159987e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/5-5,24.473668575286865,1599.9325479450238,286.4439514206265,523.6574189256271,64.91173737662176,11.705769538879396,21.4344425238761,0.00015705722427797922,6.417396059558197e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/5-6,62.25319457054138,4053.2735676162583,728.6180770874972,1331.5350652272018,64.87954127880353,11.705769538879396,20.90702747670501,0.00039840013146759786,6.399673690900409e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/5-7,22.78421974182129,1492.3711528959743,266.66753272081337,487.0263896207816,64.90809934399537,11.705769538879396,21.30082322324244,0.000146371693604475,6.424257458147855e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/5-8,27.637286901474,1804.8438078739016,323.47780551226356,591.8154734519898,64.91441106497054,11.705769538879396,21.386850582019537,0.00017726604479379593,6.414017606928764e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/5-9,30.547385931015015,1993.561737848104,357.52137879153406,650.8355206679639,64.74040688900614,11.705769538879396,17.895436220013636,0.00019562920052931947,6.404122466357933e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
codegeex4-all-9b-Q6_K_L,Python/5-10,14.768781900405884,971.3094480469531,172.86338788347533,314.73625178884413,65.76933531447638,11.705769538879396,21.312655327643586,9.507426847899443e-05,6.437515911612287e-06,-1,-1,0.1056360201511335,0.2586488820236074,11.495237627876929
