LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),Pass@1,Pass@10,GoogleBLEU,CodeBLEU,SacreBLEU
codegeex4-all-9b-Q6_K_L,Python/4-1,47.19573354721069,3808.10236747946,552.3881122021811,1012.9138103303903,64.95286497207469,11.705769538879396,20.691033724999386,0.0003501743092939646,7.419617897106722e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/4-2,34.71338391304016,2267.561255047526,406.2890674403427,746.6605973279806,64.88497599898528,11.705769538879396,21.464396208073556,0.00022290804565094368,6.421386235618699e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/4-3,34.95565724372864,2289.2975454365724,409.1276810536172,748.8285990623928,64.89356632108519,11.705769538879396,21.466053599876286,0.00022465082881771212,6.4267373733336545e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/4-4,34.96116256713867,2281.358777085571,409.18778250239626,747.0615976488043,64.88522783185385,11.705769538879396,21.32396363716277,0.00022402223936903687,6.407745707506989e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/4-5,46.676616191864014,3041.8606734865934,546.3080587479832,996.2027969616039,64.86055091189272,11.705769538879396,21.049615957988465,0.00029875457850196387,6.400519208032017e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/4-6,58.40360689163208,3803.304890641468,683.5841912929461,1251.2570010048046,64.90903588283302,11.705769538879396,21.46403935212203,0.0003739438227188765,6.402752203519372e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/4-7,34.95046353340149,2281.0402358307224,409.06727539968756,751.398601118411,64.88800036682474,11.705769538879396,21.310083941213477,0.000224276261524332,6.4169753087822565e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/4-8,34.70307993888855,2263.82224905638,406.16967110506454,743.0675944536058,64.8999571755224,11.705769538879396,21.214071020521104,0.00022242245206285105,6.409300052172103e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/4-9,40.32117223739624,2629.5616556476275,471.93131999485263,865.963692770405,64.90755476099598,11.705769538879396,21.41218195253619,0.0002585514365813902,6.4122995993056556e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/4-10,34.68401122093201,2263.542097832211,405.9502052296228,745.5015964007994,64.89049210957126,11.705769538879396,21.131299436203054,0.00022254851216206418,6.4164583140186174e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/5-1,39.9595947265625,2645.3248722582116,467.70473549631976,858.5316868248177,64.91982391712935,11.705769538879396,21.396667059390364,0.0002588189270874412,6.477015817064717e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/5-2,29.59570813179016,1932.7550212028004,346.401843277351,636.9335095464085,64.91631167019396,11.705769538879396,21.549189704319144,0.00019003593949958365,6.421064116910147e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/5-3,27.652151823043823,1807.117669692962,323.65164619686993,593.4064747247919,64.91198094330454,11.705769538879396,21.394465486914267,0.00017752923926587328,6.420087680768841e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/5-4,30.33081865310669,1979.4175365327487,354.98908581049045,645.2025161615943,64.64296120583295,11.705769538879396,15.023027506029617,0.00019417533387192402,6.4019153618207815e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/5-5,24.416091442108154,1596.8829315053224,285.7731065009855,520.949416759195,64.90598570977946,11.705769538879396,21.313516068946413,0.00015663829380979465,6.415371362004944e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/5-6,62.25034689903259,4051.333263064005,728.5913377338519,1335.5040684023961,64.8585652570125,11.705769538879396,21.7745617134709,0.0003985305952604792,6.402062239217379e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
codegeex4-all-9b-Q6_K_L,Python/5-7,22.767465829849243,1491.554259242453,266.4735419335748,487.9093903271847,64.91444437745109,11.705769538879396,21.45770524108916,0.00014636335967016978,6.428618835491141e-06,-1,-1,0.1056360201511335,0.2586488820236074,10.723604883330161
